Booking_ID,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status,arr_date,booking_date
INN04949,2,0,2,3,Meal Plan 2,0,Room_Type 4,68,2018,4,1,Online,0,0,0,130.9,1,Not_Canceled,2018-04-01,2018-01-23
INN04983,2,0,2,3,Meal Plan 1,0,Room_Type 4,48,2018,4,1,Online,0,0,0,131.4,0,Canceled,2018-04-01,2018-02-12
INN05069,2,0,1,2,Meal Plan 1,0,Room_Type 1,84,2018,4,1,Online,0,0,0,87.3,1,Not_Canceled,2018-04-01,2018-01-07
INN07757,2,0,0,2,Meal Plan 1,0,Room_Type 1,65,2018,4,1,Online,0,0,0,90.9,0,Canceled,2018-04-01,2018-01-26
INN07763,2,0,2,2,Meal Plan 1,0,Room_Type 1,93,2018,4,1,Online,0,0,0,82.45,1,Not_Canceled,2018-04-01,2017-12-29
INN08161,2,0,2,3,Meal Plan 1,0,Room_Type 4,5,2018,4,1,Online,0,0,0,141.0,2,Not_Canceled,2018-04-01,2018-03-27
INN08463,1,0,0,1,Meal Plan 1,0,Room_Type 1,64,2018,4,1,Online,0,0,0,80.1,0,Not_Canceled,2018-04-01,2018-01-27
INN08899,1,0,0,1,Meal Plan 1,1,Room_Type 1,0,2018,4,1,Corporate,1,1,0,67.0,0,Not_Canceled,2018-04-01,2018-04-01
INN08997,2,0,1,2,Not Selected,0,Room_Type 1,40,2018,4,1,Online,0,0,0,107.1,0,Canceled,2018-04-01,2018-02-20
INN09148,1,0,1,2,Meal Plan 1,0,Room_Type 1,82,2018,4,1,Online,0,0,0,81.9,0,Not_Canceled,2018-04-01,2018-01-09
INN09816,2,0,2,2,Meal Plan 1,0,Room_Type 1,74,2018,4,1,Online,0,0,0,59.37,0,Not_Canceled,2018-04-01,2018-01-17
INN10414,2,0,0,2,Not Selected,0,Room_Type 1,0,2018,4,1,Online,0,0,0,75.42,0,Not_Canceled,2018-04-01,2018-04-01
INN10699,2,0,1,2,Meal Plan 1,0,Room_Type 1,60,2018,4,1,Online,0,0,0,92.7,1,Canceled,2018-04-01,2018-01-31
INN11076,2,0,2,3,Meal Plan 1,0,Room_Type 1,50,2018,4,1,Online,0,0,0,101.31,0,Canceled,2018-04-01,2018-02-10
INN11383,2,0,2,3,Meal Plan 2,0,Room_Type 4,68,2018,4,1,Online,0,0,0,130.9,1,Not_Canceled,2018-04-01,2018-01-23
INN11423,1,0,0,2,Meal Plan 1,0,Room_Type 1,85,2018,4,1,Online,0,0,0,81.9,0,Not_Canceled,2018-04-01,2018-01-06
INN11525,1,0,0,1,Meal Plan 1,0,Room_Type 1,1,2018,4,1,Corporate,0,0,0,65.0,0,Not_Canceled,2018-04-01,2018-03-31
INN11552,2,0,1,2,Meal Plan 1,0,Room_Type 1,60,2018,4,1,Online,0,0,0,92.7,1,Canceled,2018-04-01,2018-01-31
INN11804,2,1,2,2,Not Selected,0,Room_Type 1,91,2018,4,1,Online,0,0,0,52.02,1,Not_Canceled,2018-04-01,2017-12-31
INN13355,2,0,1,2,Meal Plan 1,0,Room_Type 4,62,2018,4,1,Online,0,0,0,106.2,0,Not_Canceled,2018-04-01,2018-01-29
INN14165,1,0,0,1,Meal Plan 1,0,Room_Type 1,2,2018,4,1,Online,0,0,0,81.62,1,Not_Canceled,2018-04-01,2018-03-30
INN14285,2,0,1,2,Meal Plan 1,0,Room_Type 1,65,2018,4,1,Online,0,0,0,67.81,1,Not_Canceled,2018-04-01,2018-01-26
INN15052,2,0,2,3,Not Selected,0,Room_Type 1,48,2018,4,1,Online,0,0,0,63.22,1,Not_Canceled,2018-04-01,2018-02-12
INN15413,2,0,2,3,Meal Plan 1,0,Room_Type 1,75,2018,4,1,Online,0,0,0,82.45,0,Canceled,2018-04-01,2018-01-16
INN15630,2,0,2,2,Meal Plan 1,0,Room_Type 1,6,2018,4,1,Offline,0,0,0,95.0,0,Not_Canceled,2018-04-01,2018-03-26
INN16114,2,0,2,3,Meal Plan 1,0,Room_Type 1,65,2018,4,1,Online,0,0,0,88.91,1,Not_Canceled,2018-04-01,2018-01-26
INN16296,2,0,1,2,Not Selected,0,Room_Type 1,67,2018,4,1,Online,0,0,0,81.9,0,Not_Canceled,2018-04-01,2018-01-24
INN17159,2,0,1,2,Meal Plan 1,0,Room_Type 4,62,2018,4,1,Online,0,0,0,106.2,0,Not_Canceled,2018-04-01,2018-01-29
INN18458,1,0,0,2,Meal Plan 1,0,Room_Type 1,85,2018,4,1,Online,0,0,0,81.9,0,Not_Canceled,2018-04-01,2018-01-06
INN19012,3,0,0,2,Meal Plan 1,1,Room_Type 4,3,2018,4,1,Online,0,0,0,156.0,2,Not_Canceled,2018-04-01,2018-03-29
INN19212,1,0,1,2,Meal Plan 1,0,Room_Type 1,82,2018,4,1,Online,0,0,0,81.9,1,Not_Canceled,2018-04-01,2018-01-09
INN19382,2,0,1,2,Meal Plan 1,0,Room_Type 4,32,2018,4,1,Online,0,0,0,131.4,0,Canceled,2018-04-01,2018-02-28
INN19528,2,0,0,2,Meal Plan 1,0,Room_Type 1,89,2018,4,1,Online,0,0,0,87.3,1,Not_Canceled,2018-04-01,2018-01-02
INN20673,2,0,0,2,Meal Plan 1,0,Room_Type 1,81,2018,4,1,Complementary,0,0,0,0.0,0,Not_Canceled,2018-04-01,2018-01-10
INN20841,2,1,1,2,Meal Plan 1,0,Room_Type 1,57,2018,4,1,Online,0,0,0,108.9,1,Canceled,2018-04-01,2018-02-03
INN20874,2,0,1,2,Meal Plan 1,0,Room_Type 1,121,2018,4,1,Offline,0,0,0,71.0,0,Not_Canceled,2018-04-01,2017-12-01
INN21284,3,0,2,2,Meal Plan 1,0,Room_Type 4,49,2018,4,1,Online,0,0,0,121.13,1,Not_Canceled,2018-04-01,2018-02-11
INN23082,2,0,1,2,Meal Plan 1,0,Room_Type 4,62,2018,4,1,Online,0,0,0,106.2,0,Not_Canceled,2018-04-01,2018-01-29
INN23598,3,0,1,2,Meal Plan 1,0,Room_Type 4,12,2018,4,1,Online,0,0,0,163.67,1,Not_Canceled,2018-04-01,2018-03-20
INN24360,2,0,1,2,Not Selected,0,Room_Type 1,57,2018,4,1,Online,0,0,0,81.9,0,Canceled,2018-04-01,2018-02-03
INN24397,2,0,1,2,Meal Plan 1,0,Room_Type 1,66,2018,4,1,Online,0,0,0,92.7,1,Not_Canceled,2018-04-01,2018-01-25
INN25002,2,0,1,2,Not Selected,0,Room_Type 1,77,2018,4,1,Online,0,0,0,85.5,0,Canceled,2018-04-01,2018-01-14
INN25010,2,0,1,2,Meal Plan 1,0,Room_Type 4,51,2018,4,1,Online,0,0,0,106.2,0,Not_Canceled,2018-04-01,2018-02-09
INN26430,3,0,2,3,Meal Plan 1,0,Room_Type 4,64,2018,4,1,Online,0,0,0,119.51,2,Not_Canceled,2018-04-01,2018-01-27
INN26880,2,0,0,2,Meal Plan 1,0,Room_Type 1,90,2018,4,1,Online,0,0,0,63.86,1,Not_Canceled,2018-04-01,2018-01-01
INN27115,1,0,1,2,Meal Plan 1,0,Room_Type 1,84,2018,4,1,Online,0,0,0,87.3,0,Canceled,2018-04-01,2018-01-07
INN27181,1,0,0,1,Meal Plan 1,0,Room_Type 1,1,2018,4,1,Corporate,0,0,0,65.0,0,Not_Canceled,2018-04-01,2018-03-31
INN27730,3,0,1,2,Meal Plan 1,0,Room_Type 4,40,2018,4,1,Online,0,0,0,150.3,0,Canceled,2018-04-01,2018-02-20
INN28633,2,0,0,2,Meal Plan 1,0,Room_Type 1,8,2018,4,1,Corporate,1,0,1,84.0,1,Not_Canceled,2018-04-01,2018-03-24
INN29833,3,0,2,2,Meal Plan 1,0,Room_Type 4,68,2018,4,1,Online,0,0,0,116.45,2,Not_Canceled,2018-04-01,2018-01-23
INN29958,2,0,2,2,Meal Plan 1,0,Room_Type 4,47,2018,4,1,Online,0,0,0,103.28,0,Not_Canceled,2018-04-01,2018-02-13
INN29994,2,0,2,2,Not Selected,0,Room_Type 1,91,2018,4,1,Online,0,0,0,52.02,0,Not_Canceled,2018-04-01,2017-12-31
INN30094,3,0,0,2,Meal Plan 1,0,Room_Type 4,3,2018,4,1,Online,0,0,0,147.0,0,Canceled,2018-04-01,2018-03-29
INN30546,2,0,0,2,Meal Plan 1,0,Room_Type 4,46,2018,4,1,Online,0,0,0,104.4,0,Canceled,2018-04-01,2018-02-14
INN30770,2,0,0,2,Meal Plan 1,0,Room_Type 4,36,2018,4,1,Online,0,0,0,131.4,0,Canceled,2018-04-01,2018-02-24
INN31084,2,0,1,2,Meal Plan 1,0,Room_Type 4,47,2018,4,1,Online,0,0,0,106.2,0,Not_Canceled,2018-04-01,2018-02-13
INN32144,2,0,0,2,Not Selected,0,Room_Type 1,41,2018,4,1,Online,0,0,0,107.1,0,Not_Canceled,2018-04-01,2018-02-19
INN32764,1,0,0,1,Meal Plan 1,1,Room_Type 1,0,2018,4,1,Corporate,1,0,2,67.0,0,Not_Canceled,2018-04-01,2018-04-01
INN33019,2,0,1,2,Not Selected,0,Room_Type 1,67,2018,4,1,Offline,0,0,0,75.65,0,Not_Canceled,2018-04-01,2018-01-24
INN33682,2,0,0,2,Meal Plan 1,0,Room_Type 4,82,2018,4,1,Online,0,0,0,96.3,0,Canceled,2018-04-01,2018-01-09
INN33699,2,0,1,2,Meal Plan 1,0,Room_Type 1,29,2018,4,1,Online,0,0,0,128.6,1,Not_Canceled,2018-04-01,2018-03-03
INN33879,2,0,2,4,Meal Plan 1,0,Room_Type 2,111,2018,4,1,Online,0,0,0,73.74,1,Not_Canceled,2018-04-01,2017-12-11
INN33986,2,0,1,2,Meal Plan 1,0,Room_Type 4,60,2018,4,1,Online,0,0,0,106.2,1,Not_Canceled,2018-04-01,2018-01-31
INN34756,2,0,0,1,Meal Plan 1,0,Room_Type 1,50,2018,4,1,Online,0,0,0,90.9,0,Not_Canceled,2018-04-01,2018-02-10
INN35239,2,0,2,3,Meal Plan 1,0,Room_Type 1,75,2018,4,1,Online,0,0,0,82.45,1,Not_Canceled,2018-04-01,2018-01-16
INN00184,2,0,1,1,Meal Plan 1,0,Room_Type 4,72,2018,4,2,Online,0,0,0,96.3,1,Not_Canceled,2018-04-02,2018-01-20
INN00862,2,0,1,1,Not Selected,0,Room_Type 1,79,2018,4,2,Online,0,0,0,76.5,0,Canceled,2018-04-02,2018-01-13
INN01879,2,0,2,2,Meal Plan 1,0,Room_Type 1,91,2018,4,2,Online,0,0,0,59.37,0,Not_Canceled,2018-04-02,2018-01-01
INN02183,2,0,2,5,Meal Plan 1,0,Room_Type 2,108,2018,4,2,Online,0,0,0,74.89,0,Not_Canceled,2018-04-02,2017-12-15
INN03397,2,0,2,3,Meal Plan 1,0,Room_Type 1,68,2018,4,2,Online,0,0,0,89.93,1,Not_Canceled,2018-04-02,2018-01-24
INN03402,2,0,2,4,Meal Plan 1,0,Room_Type 1,99,2018,4,2,Online,0,0,0,62.37,0,Not_Canceled,2018-04-02,2017-12-24
INN03955,2,0,2,1,Meal Plan 2,0,Room_Type 1,122,2018,4,2,Offline,0,0,0,110.24,0,Not_Canceled,2018-04-02,2017-12-01
INN05021,1,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,4,2,Online,0,0,0,6.0,0,Not_Canceled,2018-04-02,2018-04-02
INN06226,2,0,0,1,Not Selected,0,Room_Type 1,50,2018,4,2,Online,0,0,0,80.1,0,Canceled,2018-04-02,2018-02-11
INN06231,2,0,0,1,Meal Plan 1,0,Room_Type 4,53,2018,4,2,Online,0,0,0,123.3,0,Canceled,2018-04-02,2018-02-08
INN06504,2,0,2,5,Meal Plan 1,0,Room_Type 2,109,2018,4,2,Online,0,0,0,74.89,0,Not_Canceled,2018-04-02,2017-12-14
INN06587,2,1,0,1,Meal Plan 1,0,Room_Type 4,5,2018,4,2,Online,0,0,0,143.5,1,Canceled,2018-04-02,2018-03-28
INN07103,2,0,2,3,Meal Plan 1,0,Room_Type 4,60,2018,4,2,Online,0,0,0,107.78,1,Not_Canceled,2018-04-02,2018-02-01
INN08006,2,0,2,2,Not Selected,0,Room_Type 1,88,2018,4,2,Online,0,0,0,72.25,0,Not_Canceled,2018-04-02,2018-01-04
INN08219,2,0,2,1,Meal Plan 1,0,Room_Type 1,76,2018,4,2,Online,0,0,0,87.3,1,Not_Canceled,2018-04-02,2018-01-16
INN08451,2,0,2,1,Not Selected,0,Room_Type 1,86,2018,4,2,Online,0,0,0,76.5,1,Canceled,2018-04-02,2018-01-06
INN08769,2,0,2,2,Meal Plan 1,0,Room_Type 1,69,2018,4,2,Online,0,0,0,85.85,0,Canceled,2018-04-02,2018-01-23
INN09093,2,0,2,1,Meal Plan 1,0,Room_Type 1,54,2018,4,2,Offline,0,0,0,75.0,0,Not_Canceled,2018-04-02,2018-02-07
INN09954,2,0,2,2,Meal Plan 1,0,Room_Type 1,23,2018,4,2,Offline,0,0,0,95.0,2,Not_Canceled,2018-04-02,2018-03-10
INN10317,2,0,2,3,Meal Plan 1,0,Room_Type 1,70,2018,4,2,Online,0,0,0,61.56,2,Not_Canceled,2018-04-02,2018-01-22
INN11038,3,0,2,3,Meal Plan 1,0,Room_Type 4,62,2018,4,2,Online,0,0,0,125.63,1,Canceled,2018-04-02,2018-01-30
INN11585,2,0,2,1,Meal Plan 1,0,Room_Type 1,102,2018,4,2,Online,0,0,0,63.86,1,Not_Canceled,2018-04-02,2017-12-21
INN11688,1,0,2,2,Meal Plan 1,0,Room_Type 1,77,2018,4,2,Online,0,0,0,72.25,0,Not_Canceled,2018-04-02,2018-01-15
INN11904,2,0,1,1,Meal Plan 1,0,Room_Type 4,33,2018,4,2,Online,0,0,0,131.4,0,Not_Canceled,2018-04-02,2018-02-28
INN12194,2,0,2,3,Meal Plan 1,0,Room_Type 1,60,2018,4,2,Offline,0,0,0,75.0,0,Not_Canceled,2018-04-02,2018-02-01
INN12313,2,0,2,3,Meal Plan 1,0,Room_Type 1,70,2018,4,2,Online,0,0,0,61.56,2,Not_Canceled,2018-04-02,2018-01-22
INN13038,2,0,2,1,Meal Plan 1,0,Room_Type 1,70,2018,4,2,Online,0,0,0,87.3,0,Canceled,2018-04-02,2018-01-22
INN13271,2,0,1,1,Meal Plan 1,0,Room_Type 1,79,2018,4,2,Online,0,0,0,87.3,0,Canceled,2018-04-02,2018-01-13
INN13308,2,2,0,1,Meal Plan 1,0,Room_Type 6,20,2018,4,2,Online,0,0,0,221.0,0,Canceled,2018-04-02,2018-03-13
INN13845,2,0,0,1,Not Selected,0,Room_Type 1,5,2018,4,2,Online,0,0,0,99.0,1,Not_Canceled,2018-04-02,2018-03-28
INN14760,2,0,1,1,Meal Plan 1,0,Room_Type 4,72,2018,4,2,Online,0,0,0,96.3,1,Not_Canceled,2018-04-02,2018-01-20
INN15318,1,0,1,1,Meal Plan 1,0,Room_Type 1,66,2018,4,2,Online,0,0,0,88.2,0,Canceled,2018-04-02,2018-01-26
INN15357,1,0,1,1,Meal Plan 1,0,Room_Type 1,66,2018,4,2,Online,0,0,0,88.2,0,Canceled,2018-04-02,2018-01-26
INN15897,2,0,2,2,Meal Plan 1,0,Room_Type 1,73,2018,4,2,Offline,0,0,0,80.75,0,Not_Canceled,2018-04-02,2018-01-19
INN17058,2,0,0,1,Not Selected,0,Room_Type 1,4,2018,4,2,Online,0,0,0,99.0,1,Not_Canceled,2018-04-02,2018-03-29
INN17814,2,0,1,1,Meal Plan 1,0,Room_Type 1,121,2018,4,2,Offline,0,0,0,71.0,0,Not_Canceled,2018-04-02,2017-12-02
INN18051,3,0,2,1,Meal Plan 1,1,Room_Type 4,6,2018,4,2,Online,0,0,0,149.33,1,Not_Canceled,2018-04-02,2018-03-27
INN18351,2,0,0,1,Not Selected,0,Room_Type 1,4,2018,4,2,Online,0,0,0,99.0,1,Not_Canceled,2018-04-02,2018-03-29
INN18753,2,0,2,3,Meal Plan 1,0,Room_Type 4,79,2018,4,2,Online,0,0,0,92.65,1,Not_Canceled,2018-04-02,2018-01-13
INN19794,1,0,2,1,Meal Plan 1,0,Room_Type 1,66,2018,4,2,Online,0,0,0,89.1,0,Canceled,2018-04-02,2018-01-26
INN20508,2,0,0,1,Meal Plan 1,0,Room_Type 1,42,2018,4,2,Online,0,0,0,117.9,0,Not_Canceled,2018-04-02,2018-02-19
INN20808,2,0,1,1,Meal Plan 1,0,Room_Type 1,36,2018,4,2,Online,0,0,0,117.9,2,Not_Canceled,2018-04-02,2018-02-25
INN21937,2,0,2,2,Meal Plan 1,1,Room_Type 1,3,2018,4,2,Online,0,0,0,112.5,1,Not_Canceled,2018-04-02,2018-03-30
INN22209,1,0,2,1,Not Selected,0,Room_Type 1,17,2018,4,2,Online,0,0,0,102.33,0,Canceled,2018-04-02,2018-03-16
INN22243,2,0,0,1,Not Selected,0,Room_Type 1,4,2018,4,2,Online,0,0,0,99.0,1,Not_Canceled,2018-04-02,2018-03-29
INN23006,2,0,1,1,Meal Plan 1,0,Room_Type 4,34,2018,4,2,Online,0,0,0,131.4,1,Not_Canceled,2018-04-02,2018-02-27
INN23253,2,0,2,2,Not Selected,0,Room_Type 1,30,2018,4,2,Online,0,0,0,112.58,0,Canceled,2018-04-02,2018-03-03
INN23679,2,0,2,3,Meal Plan 1,0,Room_Type 4,79,2018,4,2,Online,0,0,0,92.65,1,Not_Canceled,2018-04-02,2018-01-13
INN24077,2,0,2,2,Meal Plan 1,0,Room_Type 1,92,2018,4,2,Online,0,0,0,77.6,0,Not_Canceled,2018-04-02,2017-12-31
INN25054,2,0,2,3,Meal Plan 1,0,Room_Type 1,68,2018,4,2,Online,0,0,0,89.93,1,Not_Canceled,2018-04-02,2018-01-24
INN25277,3,0,1,1,Meal Plan 1,0,Room_Type 4,63,2018,4,2,Online,0,0,0,126.0,1,Not_Canceled,2018-04-02,2018-01-29
INN25935,2,0,2,1,Meal Plan 1,0,Room_Type 1,76,2018,4,2,Online,0,0,0,87.3,1,Not_Canceled,2018-04-02,2018-01-16
INN26651,2,0,0,1,Meal Plan 1,0,Room_Type 1,31,2018,4,2,Online,0,0,0,117.9,0,Canceled,2018-04-02,2018-03-02
INN27063,1,0,0,1,Meal Plan 1,0,Room_Type 1,50,2018,4,2,Online,0,0,0,85.5,0,Not_Canceled,2018-04-02,2018-02-11
INN27716,2,0,0,1,Not Selected,0,Room_Type 1,18,2018,4,2,Online,0,0,0,129.0,1,Not_Canceled,2018-04-02,2018-03-15
INN29120,2,0,0,1,Not Selected,1,Room_Type 1,97,2018,4,2,Online,0,0,0,76.5,1,Not_Canceled,2018-04-02,2017-12-26
INN29961,2,0,1,1,Meal Plan 1,0,Room_Type 1,78,2018,4,2,Online,0,0,0,87.3,1,Not_Canceled,2018-04-02,2018-01-14
INN30183,2,0,1,1,Not Selected,0,Room_Type 1,44,2018,4,2,Online,0,0,0,107.1,0,Canceled,2018-04-02,2018-02-17
INN30216,1,0,2,1,Meal Plan 1,0,Room_Type 1,66,2018,4,2,Online,0,0,0,89.1,0,Canceled,2018-04-02,2018-01-26
INN30565,2,0,1,1,Meal Plan 1,0,Room_Type 4,63,2018,4,2,Online,0,0,0,107.1,0,Not_Canceled,2018-04-02,2018-01-29
INN30924,2,0,1,1,Meal Plan 1,0,Room_Type 4,72,2018,4,2,Online,0,0,0,96.3,1,Not_Canceled,2018-04-02,2018-01-20
INN31698,2,0,2,2,Meal Plan 1,0,Room_Type 1,13,2018,4,2,Online,0,0,0,120.0,0,Canceled,2018-04-02,2018-03-20
INN32112,2,0,2,4,Meal Plan 1,0,Room_Type 1,104,2018,4,2,Online,0,0,0,82.45,2,Canceled,2018-04-02,2017-12-19
INN32196,1,0,1,1,Meal Plan 1,0,Room_Type 1,43,2018,4,2,Online,0,0,0,107.1,0,Canceled,2018-04-02,2018-02-18
INN32326,2,0,2,1,Meal Plan 1,0,Room_Type 1,88,2018,4,2,Online,0,0,0,87.3,0,Canceled,2018-04-02,2018-01-04
INN33073,2,0,2,2,Meal Plan 1,0,Room_Type 1,67,2018,4,2,Online,0,0,0,71.74,1,Not_Canceled,2018-04-02,2018-01-25
INN33897,2,0,0,1,Meal Plan 1,0,Room_Type 4,53,2018,4,2,Online,0,0,0,123.3,0,Canceled,2018-04-02,2018-02-08
INN34103,1,0,0,1,Not Selected,0,Room_Type 1,53,2018,4,2,Online,0,0,0,75.6,1,Not_Canceled,2018-04-02,2018-02-08
INN34351,2,0,2,1,Meal Plan 1,0,Room_Type 1,76,2018,4,2,Online,0,0,0,87.3,1,Not_Canceled,2018-04-02,2018-01-16
INN34928,2,0,0,1,Meal Plan 1,0,Room_Type 1,53,2018,4,2,Online,0,0,0,90.9,0,Canceled,2018-04-02,2018-02-08
INN36085,2,0,2,4,Not Selected,0,Room_Type 1,91,2018,4,2,Online,0,0,0,81.25,1,Canceled,2018-04-02,2018-01-01
INN00295,2,0,2,1,Meal Plan 1,0,Room_Type 1,118,2018,4,3,Online,0,0,0,87.3,1,Canceled,2018-04-03,2017-12-06
INN00525,2,0,2,0,Meal Plan 1,0,Room_Type 1,4,2018,4,3,Online,0,0,0,77.77,1,Not_Canceled,2018-04-03,2018-03-30
INN00877,2,1,2,1,Not Selected,0,Room_Type 1,73,2018,4,3,Online,0,0,0,94.0,1,Not_Canceled,2018-04-03,2018-01-20
INN01596,2,0,2,2,Not Selected,0,Room_Type 1,6,2018,4,3,Offline,0,0,0,85.0,0,Not_Canceled,2018-04-03,2018-03-28
INN02764,1,0,2,0,Not Selected,0,Room_Type 1,17,2018,4,3,Online,0,0,0,89.0,0,Canceled,2018-04-03,2018-03-17
INN03086,2,0,2,1,Meal Plan 1,0,Room_Type 1,72,2018,4,3,Online,0,0,0,87.3,2,Not_Canceled,2018-04-03,2018-01-21
INN03999,3,0,2,0,Meal Plan 1,0,Room_Type 1,37,2018,4,3,Online,0,0,0,150.3,0,Canceled,2018-04-03,2018-02-25
INN04709,2,0,2,1,Meal Plan 1,0,Room_Type 1,118,2018,4,3,Online,0,0,0,87.3,1,Canceled,2018-04-03,2017-12-06
INN05665,2,0,2,4,Meal Plan 1,0,Room_Type 1,91,2018,4,3,Online,0,0,0,83.87,1,Not_Canceled,2018-04-03,2018-01-02
INN05710,2,0,2,1,Meal Plan 1,0,Room_Type 1,49,2018,4,3,Online,0,0,0,102.3,0,Not_Canceled,2018-04-03,2018-02-13
INN05804,2,0,2,0,Meal Plan 1,0,Room_Type 1,2,2018,4,3,Online,0,0,0,101.0,1,Not_Canceled,2018-04-03,2018-04-01
INN05890,2,0,2,1,Meal Plan 1,0,Room_Type 4,72,2018,4,3,Online,0,0,0,100.8,0,Canceled,2018-04-03,2018-01-21
INN05983,2,0,2,3,Not Selected,0,Room_Type 1,81,2018,4,3,Online,0,0,0,73.9,0,Canceled,2018-04-03,2018-01-12
INN06223,2,0,2,3,Meal Plan 1,0,Room_Type 1,82,2018,4,3,Online,0,0,0,73.9,0,Not_Canceled,2018-04-03,2018-01-11
INN06584,2,0,2,1,Not Selected,0,Room_Type 1,46,2018,4,3,Online,0,0,0,107.1,0,Not_Canceled,2018-04-03,2018-02-16
INN06867,2,2,2,5,Meal Plan 2,0,Room_Type 6,71,2018,4,3,Online,0,0,0,203.76,0,Canceled,2018-04-03,2018-01-22
INN08142,2,0,2,2,Meal Plan 1,0,Room_Type 1,71,2018,4,3,Online,0,0,0,87.13,1,Not_Canceled,2018-04-03,2018-01-22
INN08788,1,1,2,1,Not Selected,0,Room_Type 1,6,2018,4,3,Offline,0,0,0,71.2,1,Not_Canceled,2018-04-03,2018-03-28
INN09052,2,0,2,1,Meal Plan 1,0,Room_Type 4,73,2018,4,3,Online,0,0,0,96.3,0,Canceled,2018-04-03,2018-01-20
INN09559,3,0,1,0,Meal Plan 1,0,Room_Type 1,36,2018,4,3,Online,0,0,0,150.3,0,Not_Canceled,2018-04-03,2018-02-26
INN09996,2,0,2,1,Meal Plan 1,0,Room_Type 1,55,2018,4,3,Offline,0,0,0,75.0,1,Not_Canceled,2018-04-03,2018-02-07
INN10347,2,0,2,0,Not Selected,0,Room_Type 1,14,2018,4,3,Online,0,0,0,89.0,1,Canceled,2018-04-03,2018-03-20
INN10514,2,0,2,1,Not Selected,0,Room_Type 1,73,2018,4,3,Online,0,0,0,76.5,1,Not_Canceled,2018-04-03,2018-01-20
INN12266,2,0,2,3,Meal Plan 1,0,Room_Type 1,62,2018,4,3,Offline,0,0,0,76.0,1,Not_Canceled,2018-04-03,2018-01-31
INN13418,1,0,1,0,Not Selected,0,Room_Type 1,0,2018,4,3,Online,0,0,0,89.0,0,Not_Canceled,2018-04-03,2018-04-03
INN14230,2,2,2,2,Meal Plan 1,0,Room_Type 6,88,2018,4,3,Online,0,0,0,150.45,2,Not_Canceled,2018-04-03,2018-01-05
INN14329,2,0,2,3,Meal Plan 1,0,Room_Type 1,114,2018,4,3,Offline,0,0,0,80.75,0,Not_Canceled,2018-04-03,2017-12-10
INN14345,3,0,2,1,Meal Plan 1,0,Room_Type 1,58,2018,4,3,Offline,0,0,0,105.0,1,Not_Canceled,2018-04-03,2018-02-04
INN15477,2,0,2,0,Not Selected,0,Room_Type 1,10,2018,4,3,Online,0,0,0,89.0,1,Not_Canceled,2018-04-03,2018-03-24
